category,subcat,keyword,new_count,deleted_count,median_lifespan_days,demand_score
nabytok,Stoly,stol stolicky,24,1,0.09,5.95
sport,Cestné bicykle,cestny,29,1,0.31,5.95
elektro,Sporáky,rura,26,1,0.2,5.86
nabytok,Obývacie steny,stolik,25,1,0.15,5.84
dom,Snežná technika,freza,27,1,0.26,5.76
nabytok,Skrine,skrine,23,1,0.08,5.74
sport,Kolobežky,scooter,28,1,0.31,5.74
elektro,Repro sústavy,jbl,29,1,0.38,5.65
nabytok,Matrace,matrace,24,1,0.15,5.61
sport,"Fitness, jogging",bezecky,26,1,0.27,5.51
deti,Kočíky,thule,25,1,0.24,5.46
nabytok,Ostatný nábytok,stolik,24,1,0.19,5.45
nabytok,Kúpeľne,skrinka,27,1,0.35,5.39
nabytok,Záhradný nábytok,zahradne,23,1,0.15,5.37
dom,Ostatné,zemiaky,23,1,0.19,5.21
sport,"Poľovníctvo, lov",puskohlad,26,1,0.35,5.19
nabytok,Kuchyne,spotrebici,38,6,0.98,5.18
sport,Cestné bicykle,retro,22,2,0.16,5.12
sport,"Fitness, jogging",bezecky pas,24,1,0.27,5.08
nabytok,Spálne,stolik,21,2,0.12,5.05
elektro,"Hifi systémy, Rádiá",philips,21,2,0.13,4.99
sport,Cestné bicykle,favorit,20,1,0.08,4.98
sport,Cestné bicykle,cestny bicykel,24,1,0.31,4.92
nabytok,Postele,postele,21,1,0.16,4.86
stroje,Stavebné stroje,vibracna,20,1,0.12,4.81
deti,Kojenecké potreby,mlieka,22,1,0.23,4.8
stroje,Ostatné,kompresor,24,2,0.36,4.74
elektro,Mikrovlnné rúry,mikrovlnna rura,24,2,0.37,4.73
elektro,Mikrovlnné rúry,mikrovlnna,24,2,0.37,4.73
elektro,"Hifi systémy, Rádiá",pioneer,21,1,0.2,4.73
elektro,Ostatné drobné,zdroj,21,1,0.2,4.73
sport,Elektrobicykle,cube,23,1,0.31,4.72
nabytok,Stoličky,kancelarska,22,1,0.26,4.7
elektro,Slúchadlá,sony,22,1,0.26,4.7
nabytok,Jedálenské kúty,jedalensky,20,1,0.15,4.67
stroje,Drevoobrábacie stroje,hoblovacka,20,1,0.15,4.67
dom,Ostatné,zahradny,30,1,0.74,4.66
nabytok,Kreslá a gauče,sedacia,23,1,0.35,4.59
dom,"Dvere, brány",interierove,29,1,0.71,4.56
nabytok,Sedacie súpravy,rozkladacia,20,2,0.18,4.56
nabytok,Sedacie súpravy,supravu,21,2,0.25,4.54
dom,Okná,plastove okno,34,1,1.05,4.47
stroje,Stavebné stroje,wacker,24,1,0.46,4.43
elektro,Práčky,samsung,24,1,0.46,4.43
nabytok,Kreslá a gauče,sedacia suprava,22,1,0.35,4.39
nabytok,Kreslá a gauče,suprava,22,1,0.35,4.39
nabytok,Spálne,nocny,18,2,0.12,4.33
nabytok,Spálne,nocny stolik,18,2,0.12,4.33
stroje,Stavebné stroje,doska,18,1,0.12,4.32
deti,Bicykle,woom,21,1,0.31,4.31
deti,Kočíky,kocik cybex,19,1,0.2,4.28
